qname,Preferred prefix,URI
nidm:NIDM_0000164,nidm_NeuroimagingAnalysisSoftware,http://purl.org/nidash/nidm#NIDM_0000164
nidm:NIDM_0000165,nidm_NIDMResultsExporter,http://purl.org/nidash/nidm#NIDM_0000165
nidm:NIDM_0000166,nidm_NIDMResultsExport,http://purl.org/nidash/nidm#NIDM_0000166
nidm:NIDM_0000167,nidm_nidmfsl,http://purl.org/nidash/nidm#NIDM_0000167
nidm:NIDM_0000168,nidm_spm_results_nidm,http://purl.org/nidash/nidm#NIDM_0000168
nidm:NIDM_0000169,nidm_Data,http://purl.org/nidash/nidm#NIDM_0000169
nidm:NIDM_0000170,nidm_groupName,http://purl.org/nidash/nidm#NIDM_0000170
nidm:NIDM_0000171,nidm_numberOfSubjects,http://purl.org/nidash/nidm#NIDM_0000171
nidm:NIDM_0000172,nidm_hasMRIProtocol,http://purl.org/nidash/nidm#NIDM_0000172
spm:SPM_0000001,spm_SPMsDriftCutoffPeriod,http://purl.org/nidash/spm#SPM_0000001
spm:SPM_0000002,spm_DiscreteCosineTransformbasisDriftModel,http://purl.org/nidash/spm#SPM_0000002
spm:SPM_0000003,spm_SPMsDispersionDerivative,http://purl.org/nidash/spm#SPM_0000003
spm:SPM_0000004,spm_SPMsCanonicalHRF,http://purl.org/nidash/spm#SPM_0000004
spm:SPM_0000005,spm_PartialConjunctionInference,http://purl.org/nidash/spm#SPM_0000005
spm:SPM_0000006,spm_SPMsTemporalDerivative,http://purl.org/nidash/spm#SPM_0000006
spm:SPM_0000010,spm_searchVolumeReselsGeometry,http://purl.org/nidash/spm#SPM_0000010
spm:SPM_0000011,spm_smallestSignificantClusterSizeInVerticesFDR05,http://purl.org/nidash/spm#SPM_0000011
spm:SPM_0000012,spm_smallestSignificantClusterSizeInVerticesFWE05,http://purl.org/nidash/spm#SPM_0000012
spm:SPM_0000013,spm_smallestSignificantClusterSizeInVoxelsFDR05,http://purl.org/nidash/spm#SPM_0000013
spm:SPM_0000014,spm_smallestSignificantClusterSizeInVoxelsFWE05,http://purl.org/nidash/spm#SPM_0000014
spm:SPM_0000015,spm_partialConjunctionDegree,http://purl.org/nidash/spm#SPM_0000015
